especie_agregada,id_especie_agregada
"BOVINOS (CARNE Y LECHE), PORCINOS, AVES (ENGORDA, REPRODUCTORAS Y REEMPLAZO), PAVOS, CANINOS Y FELINOS DOMESTICOS",133
"BOVINOS (CARNE Y/O LECHE), PORCINOS, EQUINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",134
"BOVINOS, OVINOS Y CAPRINO (PRODUCTORES DE CARNE Y LECHE), EQUINOS, PORCINOS, CANINOS Y FELINOS",135
"BOVINOS, OVINOS Y CAPRINOS (CERNE Y LECHE), EQUINOS, PORCINOS, CANINOS Y FELINOS",136
"BOVINOS (PRODUCTORES DE CARNE Y LECHE, ADULTOS Y BECERROS), OVINOS (ADULTOS Y CORDEROS), CAPRINOS (ADULTOS Y CABRITOS), EQUINOS (ADULTOS Y POTROS), PORCINOS (ADULTOS Y LECHONES), CANINOS Y FELINOS",137
"BOVINOS PRODUCTORES LECHE Y CARNE, PORCINOS, EQUINOS, CANINOS Y FELINOS",138
"BOVINOS PRODUCTORES DE CARNE Y LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",139
"BOVINOS PRODUCTORES DE CARNE Y LECHE, PORCINOS, OVINOS CAPRINOS, CANINOS Y FELINOS",140
"EQUINOS, CANINOS Y FELINOS",141
"BOVINOS PRODUCTORES DE CARNE, POLLO DE ENGORDA, AVES DE COMBATE, PORCINOS, CANINOS Y FELINOS",142
"BOVINOS, EQUINOS, CAPRINOS, OVINOS, PORCINOS, CANINOS Y FELINOS",143
"BOVINOS (CARNE), EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",144
"BOVINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS DOMESTICOS",145
"BOVINOS (ENGORDA Y PRODUCTORES DE LECHE), PORCINOS, OVINOS, CAPRINOS, EQUINOS, CANINOS Y FELINOS",146
CANINOS Y FELINOS DOMESTINOS,147
"CANINOS Y FELINOS, ANTIMICROBIANO DE AMPLIO ESPECTRO",148
"EQUINOS, CANINOS Y FELINOS DOMESTICOS",149
"BOVINOS DE CARNE, PROCINOS, AVES DE ENGORDA, CANINOS Y FELINOS",150
"BOVINOS (PRODUCTORES DE CARNE Y LECHE), EQUINOS, PORCINOS OVINOS, CAPRINOS, CANINOS Y FELINOS, AVES DE COMBATE Y ANIMALES PILIFEROS",151
"BOVINOS PRODUCTORES DE LECHE, BOVINOS DE ENGORDA, EQUINOS, PORCINOS, OVINOS, CAPRINOS, CANINOS Y FELINOS",152
"BOVINOS PRODUCTORES DE LECHE, BOVINOS DE ENGORDA, EQUINOS (NO DESTINADOS PARA CONSUMO HUMANO) PORCINOS, OVINOS CAPRINOS CANINOS Y FELINOS",153
"BOVIOS PRODUCTORES DE LECHE, DE ENGORDA, EQUINOS (NO DESTINADOS PARA CONSUMO HUMANO) PORCINOS, OVIOS, CAPRINOS, CANINOS Y FELINOS",154
"BOVINOS PRODUCTORES DE CARN, BOVINOS PRODUCTARES DE LECHE, EQUINOS, PORCINOS, OVINOS, CAPRINOS, POLLO DE ENGORDA, GALLINA DE POSTURA, AVES DE ORNATO Y GALLOS DE PELEA, CANINOS Y FELINOS",155
